buildings/1000001 (Town_Hall)  level 17
buildings/1000021 (X-Bow)  level 1
buildings/1000021 (X-Bow)  level 2
buildings/1000021 (X-Bow)  level 3
buildings/1000021 (X-Bow)  level 4
buildings/1000021 (X-Bow)  level 5
buildings/1000021 (X-Bow)  level 6
buildings/1000021 (X-Bow)  level 7
buildings/1000021 (X-Bow)  level 8
buildings/1000021 (X-Bow)  level 9
buildings/1000021 (X-Bow)  level 10
buildings/1000021 (X-Bow)  level 11
buildings/1000021 (X-Bow)  level 12
buildings/1000027 (Inferno_Tower)  level 1
buildings/1000027 (Inferno_Tower)  level 2
buildings/1000027 (Inferno_Tower)  level 3
buildings/1000027 (Inferno_Tower)  level 4
buildings/1000027 (Inferno_Tower)  level 5
buildings/1000027 (Inferno_Tower)  level 6
buildings/1000027 (Inferno_Tower)  level 7
buildings/1000027 (Inferno_Tower)  level 8
buildings/1000027 (Inferno_Tower)  level 9
buildings/1000027 (Inferno_Tower)  level 10
buildings/1000027 (Inferno_Tower)  level 11
buildings/1000027 (Inferno_Tower)  level 12
buildings/1000070 (Blacksmith)  level 2
buildings/1000070 (Blacksmith)  level 4
buildings/1000070 (Blacksmith)  level 6
buildings/1000070 (Blacksmith)  level 8
buildings/1000072 (Spell_Tower)  level 1
buildings/1000072 (Spell_Tower)  level 2
buildings/1000072 (Spell_Tower)  level 3
buildings/1000072 (Spell_Tower)  level 4
buildings/1000079 (Multi-Gear_Tower)  level 1
buildings/1000079 (Multi-Gear_Tower)  level 2
buildings/1000079 (Multi-Gear_Tower)  level 3
traps/12000000 (Bomb)  level 2
traps/12000000 (Bomb)  level 4
traps/12000000 (Bomb)  level 6
traps/12000000 (Bomb)  level 8
traps/12000000 (Bomb)  level 10
traps/12000000 (Bomb)  level 12
traps/12000000 (Bomb)  level 14
traps/12000001 (Spring_Trap)  level 2
traps/12000001 (Spring_Trap)  level 4
traps/12000001 (Spring_Trap)  level 6
traps/12000001 (Spring_Trap)  level 8
traps/12000001 (Spring_Trap)  level 10
traps/12000001 (Spring_Trap)  level 12
traps/12000002 (Giant_Bomb)  level 2
traps/12000002 (Giant_Bomb)  level 4
traps/12000002 (Giant_Bomb)  level 6
traps/12000002 (Giant_Bomb)  level 8
traps/12000002 (Giant_Bomb)  level 10
traps/12000005 (Air_Bomb)  level 2
traps/12000005 (Air_Bomb)  level 4
traps/12000005 (Air_Bomb)  level 6
traps/12000005 (Air_Bomb)  level 8
traps/12000005 (Air_Bomb)  level 10
traps/12000005 (Air_Bomb)  level 12
traps/12000006 (Seeking_Air_Mine)  level 2
traps/12000006 (Seeking_Air_Mine)  level 4
traps/12000006 (Seeking_Air_Mine)  level 6
traps/12000006 (Seeking_Air_Mine)  level 8
traps/12000008 (Skeleton_Trap)  level 1
traps/12000008 (Skeleton_Trap)  level 2
traps/12000008 (Skeleton_Trap)  level 3
traps/12000008 (Skeleton_Trap)  level 4
traps/12000008 (Skeleton_Trap)  level 5
traps/12000016 (Tornado_Trap)  level 3
